"County ","Waterbody Name","WBIC","Station Name","Site Seq No","Swims Station Id","Survey Year","Survey Seq No","Survey Begin Date","Survey End Date","Survey Status","Gear Type","Species Code","Species","Length IN","Length MM","Weight Pounds","Weight Grams","Number of Fish","Age (observed annuli)","Age Structure ","Reproductive Condition","Gender","Source Table","Edge Counted Desc","Back Calc Desc","Sample Date"
"WAUSHARA","LONG LAKE","1000800","LONG LAKE_GENERAL LAKE STATION","111458","3043","2019","515090318","14-MAY-19","14-MAY-19","DATA ENTRY COMPLETE AND PROOFED","BOOM SHOCKER","W12","LARGEMOUTH BASS","11.50","292.10","0.736","334.00","1","2","OTOLITH","-","-","fm_fdata_fact","Yes","-","05/14/2019"
"WAUSHARA","LONG LAKE","1000800","LONG LAKE_GENERAL LAKE STATION","111458","3043","2019","515090318","14-MAY-19","14-MAY-19","DATA ENTRY COMPLETE AND PROOFED","BOOM SHOCKER","W12","LARGEMOUTH BASS","11.40","289.56","0.816","370.00","1","2","OTOLITH","-","-","fm_fdata_fact","Yes","-","05/14/2019"
"WAUSHARA","LONG LAKE","1000800","LONG LAKE_GENERAL LAKE STATION","111458","3043","2019","515090318","14-MAY-19","14-MAY-19","DATA ENTRY COMPLETE AND PROOFED","BOOM SHOCKER","W12","LARGEMOUTH BASS","11.10","281.94","0.705","320.00","1","2","OTOLITH","-","-","fm_fdata_fact","Yes","-","05/14/2019"
"WAUSHARA","LONG LAKE","1000800","LONG LAKE_GENERAL LAKE STATION","111458","3043","2019","515090318","14-MAY-19","14-MAY-19","DATA ENTRY COMPLETE AND PROOFED","BOOM SHOCKER","W12","LARGEMOUTH BASS","11.50","292.10","0.750","340.00","1","2","OTOLITH","-","-","fm_fdata_fact","Yes","-","05/14/2019"
"WAUSHARA","LONG LAKE","1000800","LONG LAKE_GENERAL LAKE STATION","111458","3043","2019","515090318","14-MAY-19","14-MAY-19","DATA ENTRY COMPLETE AND PROOFED","BOOM SHOCKER","W12","LARGEMOUTH BASS","11.70","297.18","0.829","376.00","1","2","OTOLITH","-","-","fm_fdata_fact","Yes","-","05/14/2019"
"WAUSHARA","LONG LAKE","1000800","LONG LAKE_GENERAL LAKE STATION","111458","3043","2019","515090318","14-MAY-19","14-MAY-19","DATA ENTRY COMPLETE AND PROOFED","BOOM SHOCKER","W12","LARGEMOUTH BASS","11.30","287.02","0.750","340.00","1","2","OTOLITH","-","-","fm_fdata_fact","Yes","-","05/14/2019"
"WAUSHARA","LONG LAKE","1000800","LONG LAKE_GENERAL LAKE STATION","111458","3043","2019","515090318","14-MAY-19","14-MAY-19","DATA ENTRY COMPLETE AND PROOFED","BOOM SHOCKER","W12","LARGEMOUTH BASS","11.70","297.18","0.719","326.00","1","2","OTOLITH","-","-","fm_fdata_fact","Yes","-","05/14/2019"
"WAUSHARA","LONG LAKE","1000800","LONG LAKE_GENERAL LAKE STATION","111458","3043","2019","515090318","14-MAY-19","14-MAY-19","DATA ENTRY COMPLETE AND PROOFED","BOOM SHOCKER","W12","LARGEMOUTH BASS","11.40","289.56","0.741","336.00","1","2","OTOLITH","-","-","fm_fdata_fact","Yes","-","05/14/2019"
"WAUSHARA","LONG LAKE","1000800","LONG LAKE_GENERAL LAKE STATION","111458","3043","2019","515090318","14-MAY-19","14-MAY-19","DATA ENTRY COMPLETE AND PROOFED","BOOM SHOCKER","W12","LARGEMOUTH BASS","11.30","287.02","0.728","330.00","1","2","OTOLITH","-","-","fm_fdata_fact","Yes","-","05/14/2019"
"WAUSHARA","LONG LAKE","1000800","LONG LAKE_GENERAL LAKE STATION","111458","3043","2019","515090318","14-MAY-19","14-MAY-19","DATA ENTRY COMPLETE AND PROOFED","BOOM SHOCKER","W12","LARGEMOUTH BASS","11.10","281.94","0.670","304.00","1","2","OTOLITH","-","-","fm_fdata_fact","Yes","-","05/14/2019"
