lake,obs_type,site_id,SWIMS_station_name,SWIMS_station_id,USGS_id,WBIC,site_type,site_type_detailed,lat_deg,long_deg,elev_m,bouy_bottom_elev_m
Precip,P,NADP,,,,,precipitation,precipitation,,,,
Precip,P,HCK,HANCOCK AG STA - PRECIP COLLECTORS,,,,precipitation,precipitation,,,,
Long,LK,LONG,,,5401065,1000800,lake,lake,44.20666,-89.45473,335,333.003
Long,GW,LL-01,LL01 MONITORING WELL,,10052299,,upgradient,consistently_upgradient,44.20982,-89.45635,,
Long,GW,LL-01B,LL01B MONITORING WELL,,10052446,,deep,inconsistent,,,,
Long,GW,LL-02,LL02 MONITORING WELL,10051668,10051668,,downgradient,typically_downgradient,44.20786,-89.46114,,
Long,GW,LL-02B,LL02B MONITORING WELL,,10052448,,deep,inconsistent,,,,
Long,GW,LL-03,LL03 MONITORING WELL,10051669,10051669,,downgradient,typically_downgradient,44.20662,-89.46092,,
Long,GW,LL-04,,,10052297,,downgradient,typically_downgradient,44.20398,-89.45143,,
Long,GW,LL-05,LL05B MONITORING WELL,,10052298,,upgradient,inconsistent,44.20537,-89.44787,,
Long,GW,LL-05C,LL05C MONITORING WELL,,10052449,,deep,inconsistent,,,,
Long,GW,LL-06,LL06 MONITORING WELL,10051670,10051670,,upgradient,consistently_upgradient,44.20648,-89.451,,
Long,GW,LL-07,LL07 MONITORING WELL,10051671,10051671,,upgradient,consistently_upgradient,44.20842,-89.454,,
Long,GW,LL-08,,,10052300,,upgradient,consistently_upgradient,44.20903,-89.45995,,
Long,GW,LL-09,LL09 MONITORING WELL,10052301,10052301,,downgradient,typically_downgradient,44.20542,-89.45638,,
Long,GW,LL-09B,LL09B MONITORING WELL,,10052450,,deep,consistently_downgradient,,,,
Long,GW,LL-10,,,10052302,,downgradient,consistently_downgradient,44.20665,-89.45762,,
Plainfield,LK,PLAIN,,,5401067,1012500,lake,lake,44.20713,-89.47346,335,332.7783
Plainfield,GW,PFL-02,PFL02 MONITORING WELL,10051663,10051663,,upgradient,consistently_upgradient,44.20898,-89.47471,,
Plainfield,GW,PFL-03,PFL03 MONITORING WELL,10051664,10051664,,downgradient,typically_downgradient,44.20477,-89.46944,,
Plainfield,GW,PFL-04,PFL04 MONITORING WELL,10051666,10051666,,upgradient,consistently_upgradient,44.2088,-89.47771,,
Plainfield,GW,PFL-05,PFL05 MONITORING WELL,10052284,10052284,,upgradient,consistently_upgradient,44.20752,-89.46892,,
Plainfield,GW,PFL-07,PFL07 MONITORING WELL,10051667,10051667,,upgradient,inconsistent,44.20559,-89.46725,,
Plainfield,GW,PFL-09,PFL09 MONITORING WELL,10052286,10052286,,downgradient,typically_downgradient,44.20492,-89.47161,,
Plainfield,GW,PFL-11,,,10052287,,downgradient,typically_downgradient,44.20541,-89.4746,,
Plainfield,GW,PFL-13,,,10052288,,upgradient,inconsistent,44.20763,-89.47721,,
Plainfield,GW,PFL-14,,,10052289,,downgradient,consistently_downgradient,44.20647,-89.47658,,
Plainfield,GW,PFL-15,,,10052441,,upgradient,consistently_upgradient,,,,
Plainfield,GW,PFL-100,PFL100 DEEP WELL,,10053202,,deep,deep,,,,
Plainfield,GW,PFL-101,PFL101 DEEP WELL,,10053203,,deep,deep,,,,
Pleasant,LK,PLEAS,,,435857089325301,106900,lake,lake,43.98528,-89.55251,299,291.6562519
Pleasant,GW,PSNT-01,PSNT01 MONITORING WELL,10051672,10051672,,upgradient,consistently_upgradient,43.98432,-89.55846,,
Pleasant,GW,PSNT-03,PSNT03 MONITORING WELL,10051673,10051673,,downgradient,consistently_downgradient,43.98229,-89.54691,,
Pleasant,GW,PSNT-05,PSNT05 MONITORING WELL,10052290,10052290,,downgradient,consistently_downgradient,43.98669,-89.5454,,
Pleasant,GW,PSNT-06,PSNT06 MONITORING WELL,10051674,10051674,,downgradient,consistently_downgradient,43.98104,-89.54893,,
Pleasant,GW,PSNT-07,,,10052291,,downgradient,consistently_downgradient,43.98203,-89.55161,,
Pleasant,GW,PSNT-08,,,10052292,,downgradient,consistently_downgradient,43.9808,-89.55427,,
Pleasant,GW,PSNT-09,,,10052293,,downgradient,consistently_downgradient,43.98082,-89.55748,,
Pleasant,GW,PSNT-10,,,10052294,,downgradient,consistently_downgradient,43.985,-89.54476,,
Pleasant,GW,PSNT-11,PSNT11 MONITORING WELL,10051675,10051675,,invalid,invalid,43.98856,-89.54885,,
Pleasant,GW,PSNT-14,,,10052295,,upgradient,consistently_upgradient,43.98807,-89.55239,,
Pleasant,GW,PSNT-15,,,10052296,,upgradient,consistently_upgradient,43.98207,-89.55941,,
Pleasant,GW,PSNT-16,PSNT16 MONITORING WELL,10051676,10051676,,upgradient,consistently_upgradient,43.98752,-89.55526,,
